SubjectID,Device,Baseline,T1,T2,T3
11,NIRSIT-X,40,32.857142857142854,29.833333333333332,49.600000000000001
12,NIRSIT-X,44,38,43,51.666666666666664
13,NIRSIT-X,41,39.5,39.399999999999999,46.666666666666664
14,NIRSIT-X,46,40,41,46
15,NIRSIT-X,45,38.666666666666664,33.333333333333336,48.428571428571431
17,NIRSIT-X,50,43.166666666666664,42.399999999999999,57.999999999999993
18,NIRSIT-X,43,31,30.166666666666668,46.666666666666664
19,NIRSIT-X,NaN,NaN,NaN,NaN
20,NIRSIT-X,53,46.5,52.5,59.25
11,INVOS,39,26,25,32
12,INVOS,32,22,24,43
13,INVOS,25,25,24,33
14,INVOS,31,28,32,35.5
15,INVOS,30.333333333333332,27,25,39
17,INVOS,37,21,18,47
18,INVOS,30,15,15,29
19,INVOS,NaN,NaN,NaN,NaN
20,INVOS,28.5,16.5,24,33
