Device,SourceRow,SubjectID,rSO2,SjvO2,IsPseudoBaseline,rSO2RelativeChange,SjvO2RelativeChange
NIRSIT-X,1,1,36.5,60,0,1.38888888888889,27.6595744680851
NIRSIT-X,2,1,36,47,1,0,0
NIRSIT-X,3,1,35.2857142857143,39,0,-1.98412698412695,-17.0212765957447
NIRSIT-X,4,1,35.6666666666667,43,0,-0.925925925925834,-8.51063829787234
NIRSIT-X,5,1,42.3333333333333,76,0,17.5925925925925,61.7021276595745
NIRSIT-X,6,2,45.5,85,0,10.3030303030303,49.1228070175439
NIRSIT-X,7,2,37.1666666666667,57,0,-9.89898989898982,0
NIRSIT-X,8,2,41,51,0,-0.606060606060606,-10.5263157894737
NIRSIT-X,9,2,41,55,0,-0.606060606060606,-3.50877192982456
NIRSIT-X,10,2,41.25,57,1,0,0
NIRSIT-X,11,2,46,79,0,11.5151515151515,38.5964912280702
NIRSIT-X,12,3,44.5714285714286,91,0,12.8390596745028,7.05882352941176
NIRSIT-X,13,3,37.5,77,0,-5.06329113924051,-9.41176470588235
NIRSIT-X,14,3,37.4285714285714,81,0,-5.24412296564202,-4.70588235294118
NIRSIT-X,15,3,39.5,85,1,0,0
NIRSIT-X,16,3,42.6666666666667,93,0,8.01687763713089,9.41176470588235
NIRSIT-X,17,4,43.8571428571429,91,0,6.96864111498267,16.6666666666667
NIRSIT-X,18,4,39.5,80,0,-3.65853658536585,2.56410256410256
NIRSIT-X,19,4,42,75,0,2.4390243902439,-3.84615384615385
NIRSIT-X,20,4,41,78,1,0,0
NIRSIT-X,21,4,43,85,0,4.8780487804878,8.97435897435897
NIRSIT-X,22,5,36.8333333333333,83,1,0,0
NIRSIT-X,23,5,36,62,0,-2.26244343891394,-25.3012048192771
NIRSIT-X,24,5,34.5,64,0,-6.33484162895919,-22.8915662650602
NIRSIT-X,25,5,46.8571428571429,87,0,27.2139625080804,4.81927710843374
NIRSIT-X,26,6,43.2,73,1,0,0
NIRSIT-X,27,6,42.2857142857143,76,0,-2.11640211640209,4.10958904109589
NIRSIT-X,28,6,44,67,0,1.85185185185185,-8.21917808219178
NIRSIT-X,29,6,42.6666666666667,71,0,-1.2345679012345,-2.73972602739726
NIRSIT-X,30,7,30.5,60,0,-1.15740740740755,1.69491525423729
NIRSIT-X,31,7,30.8571428571429,59,1,0,0
NIRSIT-X,32,7,29.5,53,0,-4.39814814814828,-10.1694915254237
NIRSIT-X,33,7,40,84,0,29.6296296296294,42.3728813559322
NIRSIT-X,34,8,53.5714285714286,95,0,5.04201680672274,6.74157303370786
NIRSIT-X,35,8,49,77,0,-3.92156862745098,-13.4831460674157
NIRSIT-X,36,8,50,75,0,-1.96078431372549,-15.7303370786517
NIRSIT-X,37,8,51,89,1,0,0
NIRSIT-X,38,8,56.2857142857143,92.8,0,10.3641456582633,4.26966292134831
INVOS,1,1,31,60,1,0,0
INVOS,2,1,26,47,0,-16.1290322580645,-21.6666666666667
INVOS,3,1,25,39,0,-19.3548387096774,-35
INVOS,5,1,32,76,0,3.2258064516129,26.6666666666667
INVOS,6,2,35,85,0,40,54.5454545454545
INVOS,7,2,22,57,0,-12,3.63636363636364
INVOS,8,2,25,51,0,0,-7.27272727272727
INVOS,9,2,25,55,1,0,0
INVOS,10,2,43,57,0,72,3.63636363636364
INVOS,11,2,34,79,0,36,43.6363636363636
INVOS,12,3,25,91,0,4.16666666666667,7.05882352941176
INVOS,13,3,20,77,0,-16.6666666666667,-9.41176470588235
INVOS,14,3,22.5,81,0,-6.25,-4.70588235294118
INVOS,15,3,24,85,1,0,0
INVOS,16,3,19.3333333333333,93,0,-19.4444444444446,9.41176470588235
INVOS,17,4,32,91,0,0,16.6666666666667
INVOS,18,4,28,80,0,-12.5,2.56410256410256
INVOS,19,4,30.5,75,0,-4.6875,-3.84615384615385
INVOS,20,4,32,78,1,0,0
INVOS,21,4,36,85,0,12.5,8.97435897435897
INVOS,22,5,32.3333333333333,92,0,29.3333333333332,26.027397260274
INVOS,23,5,25,73,1,0,0
INVOS,24,5,22,69,0,-12,-5.47945205479452
INVOS,25,5,25,58,0,0,-20.5479452054795
INVOS,26,5,38,91,0,52,24.6575342465753
INVOS,27,6,31,87,0,40.9090909090909,22.5352112676056
INVOS,28,6,22,71,1,0,0
INVOS,29,6,19.3333333333333,67,0,-12.1212121212123,-5.63380281690141
INVOS,30,6,18,66,0,-18.1818181818182,-7.04225352112676
INVOS,31,6,38,82,0,72.7272727272727,15.4929577464789
INVOS,32,7,21,75,1,0,0
INVOS,33,7,25,81,0,19.047619047619,8
INVOS,34,10,29.5,95,0,30.1470588235292,6.74157303370786
INVOS,35,10,19,77,0,-16.1764705882354,-13.4831460674157
INVOS,36,10,20,75,0,-11.7647058823531,-15.7303370786517
INVOS,37,10,22.6666666666667,89,1,0,0
INVOS,38,10,26,92.8,0,14.705882352941,4.26966292134831
