Device,SourceRow,SubjectID,rSO2,SjvO2,PaO2,IncludeInAnalysis,ExclusionReason
NIRSIT-X,1,1,36.5,60,33,1,
NIRSIT-X,2,1,36,47,28,1,
NIRSIT-X,3,1,35.2857142857143,39,24,1,
NIRSIT-X,4,1,35.6666666666667,43,27,1,
NIRSIT-X,5,1,42.3333333333333,76,40,1,
NIRSIT-X,6,2,45.5,85,53,1,
NIRSIT-X,7,2,37.1666666666667,57,34,1,
NIRSIT-X,8,2,41,51,34,1,
NIRSIT-X,9,2,41,55,36,1,
NIRSIT-X,10,2,41.25,57,37,1,
NIRSIT-X,11,2,46,79,52,1,
NIRSIT-X,12,3,44.5714285714286,91,55,1,
NIRSIT-X,13,3,37.5,77,39,1,
NIRSIT-X,14,3,37.4285714285714,81,44,1,
NIRSIT-X,15,3,39.5,85,49,1,
NIRSIT-X,16,3,42.6666666666667,93,63,1,
NIRSIT-X,17,4,43.8571428571429,91,57,1,
NIRSIT-X,18,4,39.5,80,44,1,
NIRSIT-X,19,4,42,75,41,1,
NIRSIT-X,20,4,41,78,43,1,
NIRSIT-X,21,4,43,85,49,1,
NIRSIT-X,22,5,36.8333333333333,83,47,1,
NIRSIT-X,23,5,36,62,34,1,
NIRSIT-X,24,5,34.5,64,35,1,
NIRSIT-X,25,5,46.8571428571429,87,53,1,
NIRSIT-X,26,6,43.2,73,48,1,
NIRSIT-X,27,6,42.2857142857143,76,52,1,
NIRSIT-X,28,6,44,67,46,1,
NIRSIT-X,29,6,42.6666666666667,71,50,1,
NIRSIT-X,30,7,30.5,60,34,1,
NIRSIT-X,31,7,30.8571428571429,59,35,1,
NIRSIT-X,32,7,29.5,53,32,1,
NIRSIT-X,33,7,40,84,53,1,
NIRSIT-X,34,8,53.5714285714286,95,71,1,
NIRSIT-X,35,8,49,77,43,1,
NIRSIT-X,36,8,50,75,41,1,
NIRSIT-X,37,8,51,89,57,1,
NIRSIT-X,38,8,56.2857142857143,92.8,57.3,1,
INVOS,1,1,31,60,33,1,
INVOS,2,1,26,47,28,1,
INVOS,3,1,25,39,24,1,
INVOS,4,1,NaN,43,27,0,missing_INVOS_rSO2_source_row4
INVOS,5,1,32,76,40,1,
INVOS,6,2,35,85,53,1,
INVOS,7,2,22,57,34,1,
INVOS,8,2,25,51,34,1,
INVOS,9,2,25,55,36,1,
INVOS,10,2,43,57,37,1,
INVOS,11,2,34,79,52,1,
INVOS,12,3,25,91,55,1,
INVOS,13,3,20,77,39,1,
INVOS,14,3,22.5,81,44,1,
INVOS,15,3,24,85,49,1,
INVOS,16,3,19.3333333333333,93,63,1,
INVOS,17,4,32,91,57,1,
INVOS,18,4,28,80,44,1,
INVOS,19,4,30.5,75,41,1,
INVOS,20,4,32,78,43,1,
INVOS,21,4,36,85,49,1,
INVOS,22,5,32.3333333333333,92,62,1,
INVOS,23,5,25,73,40,1,
INVOS,24,5,22,69,38,1,
INVOS,25,5,25,58,32,1,
INVOS,26,5,38,91,60,1,
INVOS,27,6,31,87,59,1,
INVOS,28,6,22,71,48,1,
INVOS,29,6,19.3333333333333,67,47,1,
INVOS,30,6,18,66,46,1,
INVOS,31,6,38,82,62,1,
INVOS,32,7,21,75,45,1,
INVOS,33,7,25,81,49,1,
INVOS,34,10,29.5,95,71,1,
INVOS,35,10,19,77,43,1,
INVOS,36,10,20,75,41,1,
INVOS,37,10,22.6666666666667,89,57,1,
INVOS,38,10,26,92.8,57.3,1,
