Device,SourceRow,SubjectID,rSO2,SjvO2,PairMean,SourceDifference_rSO2_minus_SjvO2
NIRSIT-X,1,1,36.5,60,48.25,-23.5
NIRSIT-X,2,1,36,47,41.5,-11
NIRSIT-X,3,1,35.2857142857143,39,37.1428571428572,-3.7142857142857
NIRSIT-X,4,1,35.6666666666667,43,39.3333333333333,-7.3333333333333
NIRSIT-X,5,1,42.3333333333333,76,59.1666666666667,-33.6666666666667
NIRSIT-X,6,2,45.5,85,65.25,-39.5
NIRSIT-X,7,2,37.1666666666667,57,47.0833333333333,-19.8333333333333
NIRSIT-X,8,2,41,51,46,-10
NIRSIT-X,9,2,41,55,48,-14
NIRSIT-X,10,2,41.25,57,49.125,-15.75
NIRSIT-X,11,2,46,79,62.5,-33
NIRSIT-X,12,3,44.5714285714286,91,67.7857142857143,-46.4285714285714
NIRSIT-X,13,3,37.5,77,57.25,-39.5
NIRSIT-X,14,3,37.4285714285714,81,59.2142857142857,-43.5714285714286
NIRSIT-X,15,3,39.5,85,62.25,-45.5
NIRSIT-X,16,3,42.6666666666667,93,67.8333333333333,-50.3333333333333
NIRSIT-X,17,4,43.8571428571429,91,67.4285714285714,-47.1428571428571
NIRSIT-X,18,4,39.5,80,59.75,-40.5
NIRSIT-X,19,4,42,75,58.5,-33
NIRSIT-X,20,4,41,78,59.5,-37
NIRSIT-X,21,4,43,85,64,-42
NIRSIT-X,22,5,36.8333333333333,83,59.9166666666667,-46.1666666666667
NIRSIT-X,23,5,36,62,49,-26
NIRSIT-X,24,5,34.5,64,49.25,-29.5
NIRSIT-X,25,5,46.8571428571429,87,66.9285714285714,-40.1428571428571
NIRSIT-X,26,6,43.2,73,58.1,-29.8
NIRSIT-X,27,6,42.2857142857143,76,59.1428571428572,-33.7142857142857
NIRSIT-X,28,6,44,67,55.5,-23
NIRSIT-X,29,6,42.6666666666667,71,56.8333333333333,-28.3333333333333
NIRSIT-X,30,7,30.5,60,45.25,-29.5
NIRSIT-X,31,7,30.8571428571429,59,44.9285714285715,-28.1428571428571
NIRSIT-X,32,7,29.5,53,41.25,-23.5
NIRSIT-X,33,7,40,84,62,-44
NIRSIT-X,34,8,53.5714285714286,95,74.2857142857143,-41.4285714285714
NIRSIT-X,35,8,49,77,63,-28
NIRSIT-X,36,8,50,75,62.5,-25
NIRSIT-X,37,8,51,89,70,-38
NIRSIT-X,38,8,56.2857142857143,92.8,74.5428571428571,-36.5142857142857
INVOS,1,1,31,60,45.5,-29
INVOS,2,1,26,47,36.5,-21
INVOS,3,1,25,39,32,-14
INVOS,5,1,32,76,54,-44
INVOS,6,2,35,85,60,-50
INVOS,7,2,22,57,39.5,-35
INVOS,8,2,25,51,38,-26
INVOS,9,2,25,55,40,-30
INVOS,10,2,43,57,50,-14
INVOS,11,2,34,79,56.5,-45
INVOS,12,3,25,91,58,-66
INVOS,13,3,20,77,48.5,-57
INVOS,14,3,22.5,81,51.75,-58.5
INVOS,15,3,24,85,54.5,-61
INVOS,16,3,19.3333333333333,93,56.1666666666667,-73.6666666666667
INVOS,17,4,32,91,61.5,-59
INVOS,18,4,28,80,54,-52
INVOS,19,4,30.5,75,52.75,-44.5
INVOS,20,4,32,78,55,-46
INVOS,21,4,36,85,60.5,-49
INVOS,22,5,32.3333333333333,92,62.1666666666667,-59.6666666666667
INVOS,23,5,25,73,49,-48
INVOS,24,5,22,69,45.5,-47
INVOS,25,5,25,58,41.5,-33
INVOS,26,5,38,91,64.5,-53
INVOS,27,6,31,87,59,-56
INVOS,28,6,22,71,46.5,-49
INVOS,29,6,19.3333333333333,67,43.1666666666667,-47.6666666666667
INVOS,30,6,18,66,42,-48
INVOS,31,6,38,82,60,-44
INVOS,32,7,21,75,48,-54
INVOS,33,7,25,81,53,-56
INVOS,34,10,29.5,95,62.25,-65.5
INVOS,35,10,19,77,48,-58
INVOS,36,10,20,75,47.5,-55
INVOS,37,10,22.6666666666667,89,55.8333333333333,-66.3333333333333
INVOS,38,10,26,92.8,59.4,-66.8
