Variable,Comparison,Baseline_median_IQR,Compared_median_IQR,Raw_p,Holm_adjusted_p,Z_value,EffectSize_r
MBP,Baseline vs T1,54.367 [12.909],66.379 [10.326],0.018,0.072,2.366,0.894
MBP,Baseline vs T2,54.367 [12.909],63.233 [5.681],0.128,0.256,1.521,0.575
MBP,Baseline vs T3,54.367 [12.909],65.867 [6.358],0.063,0.189,1.859,0.703
SBP,Baseline vs T1,77.233 [23.597],93.533 [13.893],0.018,0.072,2.366,0.894
SBP,Baseline vs T2,77.233 [23.597],90.400 [14.170],0.128,0.256,1.521,0.575
SBP,Baseline vs T3,77.233 [23.597],92.300 [6.175],0.063,0.189,1.859,0.703
DBP,Baseline vs T1,37.133 [13.522],51.621 [5.739],0.028,0.112,2.197,0.831
DBP,Baseline vs T2,37.133 [13.522],42.000 [10.193],0.237,0.256,1.183,0.447
DBP,Baseline vs T3,37.133 [13.522],50.655 [7.758],0.128,0.256,1.521,0.575
SpO2,Baseline vs T1,99.567 [1.567],99.567 [1.888],0.528,0.926,0.631,0.257
SpO2,Baseline vs T2,99.567 [1.567],98.400 [1.975],0.237,0.710,1.183,0.447
SpO2,Baseline vs T3,99.567 [1.567],99.000 [2.408],0.463,0.926,0.734,0.300
HR,Baseline vs T1,135.133 [21.025],138.500 [23.887],0.063,0.252,1.859,0.703
HR,Baseline vs T2,135.133 [21.025],134.167 [29.900],1.000,1.000,0.000,0.000
HR,Baseline vs T3,135.133 [21.025],132.300 [26.483],0.310,0.931,1.014,0.383
EtCO2,Baseline vs T1,21.000 [2.000],22.000 [2.608],0.180,0.719,1.342,0.949
EtCO2,Baseline vs T2,21.000 [2.000],20.000 [4.800],0.593,0.923,0.535,0.309
EtCO2,Baseline vs T3,21.000 [2.000],20.000 [4.000],0.180,0.719,1.342,0.949
