Variable,Comparison,ReferenceStage,ComparedStage,N_complete,N_nonzero,Reference_Median,Reference_IQR,Reference_Q1,Reference_Q3,Compared_Median,Compared_IQR,Compared_Q1,Compared_Q3,Raw_p,Holm_adjusted_p,Z_value,EffectSize_r
MBP,Baseline vs T1,Baseline,T1,7,7,54.3666666666667,12.9090909090909,49.15,62.0590909090909,66.3793103448276,10.3258620689655,64.1241379310345,74.45,0.0179604775260788,0.0718419101043151,2.36643191323985,0.894427190999916
MBP,Baseline vs T2,Baseline,T2,7,7,54.3666666666667,12.9090909090909,49.15,62.0590909090909,63.2333333333333,5.68132183908047,58.8916666666667,64.5729885057471,0.128190174345108,0.256380348690216,1.52127765851133,0.574988908499946
MBP,Baseline vs T3,Baseline,T3,7,7,54.3666666666667,12.9090909090909,49.15,62.0590909090909,65.8666666666667,6.35833333333333,63.5583333333333,69.9166666666667,0.0629790512144553,0.188937153643366,1.85933936040274,0.702764221499934
MBP,T1 vs T2,T1,T2,7,7,66.3793103448276,10.3258620689655,64.1241379310345,74.45,63.2333333333333,5.68132183908047,58.8916666666667,64.5729885057471,0.128190174345108,0.256380348690216,1.52127765851133,0.574988908499946
SBP,Baseline vs T1,Baseline,T1,7,7,77.2333333333333,23.5969696969697,68.7416666666667,92.3386363636364,93.5333333333333,13.892816091954,86.7882183908046,100.681034482759,0.0179604775260788,0.0718419101043151,2.36643191323985,0.894427190999916
SBP,Baseline vs T2,Baseline,T2,7,7,77.2333333333333,23.5969696969697,68.7416666666667,92.3386363636364,90.4,14.1695006747638,81.7576923076923,95.9271929824561,0.128190174345108,0.256380348690216,1.52127765851133,0.574988908499946
SBP,Baseline vs T3,Baseline,T3,7,7,77.2333333333333,23.5969696969697,68.7416666666667,92.3386363636364,92.3,6.175,86.875,93.05,0.0629790512144553,0.188937153643366,1.85933936040274,0.702764221499934
SBP,T1 vs T2,T1,T2,7,7,93.5333333333333,13.892816091954,86.7882183908046,100.681034482759,90.4,14.1695006747638,81.7576923076923,95.9271929824561,0.310494434317235,0.310494434317235,1.01418510567422,0.383325938999964
DBP,Baseline vs T1,Baseline,T1,7,7,37.1333333333333,13.5219696969697,34.0916666666667,47.6136363636364,51.6206896551724,5.73936781609196,47.9772988505747,53.7166666666667,0.0279918154856658,0.111967261942663,2.19740106229414,0.830539534499922
DBP,Baseline vs T2,Baseline,T2,7,7,37.1333333333333,13.5219696969697,34.0916666666667,47.6136363636364,42,10.1927197802198,37.2019230769231,47.3946428571429,0.236723570637857,0.256380348690216,1.18321595661992,0.447213595499958
DBP,Baseline vs T3,Baseline,T3,7,7,37.1333333333333,13.5219696969697,34.0916666666667,47.6136363636364,50.6551724137931,7.75833333333333,43.6583333333333,51.4166666666667,0.128190174345108,0.256380348690216,1.52127765851133,0.574988908499946
DBP,T1 vs T2,T1,T2,7,7,51.6206896551724,5.73936781609196,47.9772988505747,53.7166666666667,42,10.1927197802198,37.2019230769231,47.3946428571429,0.0425224779980517,0.127567433994155,2.02837021134844,0.766651877999928
SpO2,Baseline vs T1,Baseline,T1,7,6,99.5666666666667,1.56666666666666,98.4333333333333,100,99.5666666666667,1.88793103448276,98.1120689655172,100,0.528232776867983,0.926142030029176,0.630705997473164,0.257484645253725
SpO2,Baseline vs T2,Baseline,T2,7,7,99.5666666666667,1.56666666666666,98.4333333333333,100,98.4,1.97499999999999,97.55,99.525,0.236723570637857,0.710170711913572,1.18321595661992,0.447213595499958
SpO2,Baseline vs T3,Baseline,T3,7,6,99.5666666666667,1.56666666666666,98.4333333333333,100,99,2.40833333333333,97.35,99.7583333333333,0.463071015014588,0.926142030029176,0.733799385705343,0.299572344757639
SpO2,T1 vs T2,T1,T2,7,7,99.5666666666667,1.88793103448276,98.1120689655172,100,98.4,1.97499999999999,97.55,99.525,0.0629790512144553,0.251916204857821,1.85933936040274,0.702764221499934
HR,Baseline vs T1,Baseline,T1,7,7,135.133333333333,21.025,115.241666666667,136.266666666667,138.5,23.8870689655172,121.887931034483,145.775,0.0629790512144553,0.251916204857821,1.85933936040274,0.702764221499934
HR,Baseline vs T2,Baseline,T2,7,7,135.133333333333,21.025,115.241666666667,136.266666666667,134.166666666667,29.9,111.55,141.45,1,1,0,0
HR,Baseline vs T3,Baseline,T3,7,7,135.133333333333,21.025,115.241666666667,136.266666666667,132.3,26.4833333333333,117.775,144.258333333333,0.310494434317235,0.931483302951705,1.01418510567422,0.383325938999964
HR,T1 vs T2,T1,T2,7,7,138.5,23.8870689655172,121.887931034483,145.775,134.166666666667,29.9,111.55,141.45,0.310494434317235,0.931483302951705,1.01418510567422,0.383325938999964
EtCO2,Baseline vs T1,Baseline,T1,7,2,21,2,20,22,22,2.60833333333333,20.25,22.8583333333333,0.179712494879,0.718849979515999,1.34164078649987,0.948683298050514
EtCO2,Baseline vs T2,Baseline,T2,7,3,21,2,20,22,20,4.8,19.25,24.05,0.592980098017427,0.922901975666722,0.534522483824849,0.308606699924184
EtCO2,Baseline vs T3,Baseline,T3,7,2,21,2,20,22,20,4,16.75,20.75,0.179712494879,0.718849979515999,1.34164078649987,0.948683298050514
EtCO2,T1 vs T2,T1,T2,7,4,22,2.60833333333333,20.25,22.8583333333333,20,4.8,19.25,24.05,0.461450987833361,0.922901975666722,0.736459694318659,0.368229847159329
