Variable,Stage,N,Mean,SD,Median,IQR,Q1,Q3
MBP,Baseline,7,53.3112554112554,12.1075613429019,54.3666666666667,12.9090909090909,49.15,62.0590909090909
MBP,T1,7,68.0817733990148,6.70877048116811,66.3793103448276,10.3258620689655,64.1241379310345,74.45
MBP,T2,8,64.0383620689655,12.9159541321046,63.8833333333333,11.4534482758621,60.15,71.6034482758621
MBP,T3,7,64.4538587848933,8.04016887870429,65.8666666666667,6.35833333333333,63.5583333333333,69.9166666666667
SBP,Baseline,7,76.4597402597403,18.0174005030842,77.2333333333333,23.5969696969697,68.7416666666667,92.3386363636364
SBP,T1,7,94.7646962233169,9.68287452479737,93.5333333333333,13.892816091954,86.7882183908046,100.681034482759
SBP,T2,8,90.604020080041,17.9073427449334,93.1333333333333,17.8082995951417,83.9153846153846,101.723684210526
SBP,T3,7,89.1103448275862,11.8089072033821,92.3,6.175,86.875,93.05
DBP,Baseline,7,38.4974025974026,11.1701653481232,37.1333333333333,13.5219696969697,34.0916666666667,47.6136363636364
DBP,T1,7,50.7793103448276,5.65811043358128,51.6206896551724,5.73936781609196,47.9772988505747,53.7166666666667
DBP,T2,8,45.1413864153088,11.2209802619987,44.5892857142857,14.5019009725906,38.4038461538462,52.9057471264368
DBP,T3,7,47.1364532019704,7.05586115877395,50.6551724137931,7.75833333333333,43.6583333333333,51.4166666666667
SpO2,Baseline,7,99.1857142857143,1.00163886869491,99.5666666666667,1.56666666666666,98.4333333333333,100
SpO2,T1,7,98.7213464696223,1.8169252001307,99.5666666666667,1.88793103448276,98.1120689655172,100
SpO2,T2,8,97.8395114942529,1.83135857711239,98.2,2.66724137931033,96.6827586206897,99.35
SpO2,T3,7,98.4195402298851,1.81041853526287,99,2.40833333333333,97.35,99.7583333333333
HR,Baseline,7,126.532467532468,19.1583039778547,135.133333333333,21.025,115.241666666667,136.266666666667
HR,T1,7,133.197044334975,17.0539949295157,138.5,23.8870689655172,121.887931034483,145.775
HR,T2,8,128.656465517241,18.4586322841863,126.41091954023,27.0666666666667,112.966666666667,140.033333333333
HR,T3,7,134.681280788177,19.9955027060807,132.3,26.4833333333333,117.775,144.258333333333
EtCO2,Baseline,7,21.5714285714286,4.23702501200795,21,2,20,22
EtCO2,T1,7,22.0619047619048,4.20636328239633,22,2.60833333333333,20.25,22.8583333333333
EtCO2,T2,8,21.7541666666667,4.07528117639344,20.5,4.03333333333333,19.5,23.5333333333333
EtCO2,T3,7,20.0714285714286,4.97014898694002,20,4,16.75,20.75
